year,month,region,avg_temp,humidity,Antihistamines_demand_level,ColdRelief_demand_level,Painkillers_demand_level,Antibiotics_demand_level,DigestiveAids_demand_level
2021,12,northeast,17.5,71.6,Low,High,Low,High,Low
2021,12,northwest,16.1,78.6,Low,High,Low,High,Low
2021,12,southeast,21.7,65.9,Low,High,Moderate,Moderate,Low
2021,12,southwest,21.4,68.9,Low,High,Moderate,Moderate,Low
2021,12,central,21.3,41.1,Low,High,Moderate,Low,Low
2022,1,northeast,6.5,53.2,Low,High,Low,Moderate,Low
2022,1,northwest,16.5,53.4,Low,High,Low,Moderate,Low
2022,1,southeast,29.0,56.7,Low,High,Moderate,Moderate,Moderate
2022,1,southwest,21.6,72.9,Low,High,Moderate,High,Low
2022,1,central,21.5,73.9,Low,High,Moderate,High,Low
2022,2,northeast,8.1,63.4,Low,High,Low,Moderate,Low
2022,2,northwest,18.8,46.4,Low,High,Low,Low,Low
2022,2,southeast,16.6,68.2,Low,High,Low,Moderate,Low
2022,2,southwest,29.3,55.2,Low,High,Moderate,Moderate,Moderate
2022,2,central,19.0,67.0,Low,High,Low,Moderate,Low
2022,3,northeast,17.3,76.2,High,Low,Low,High,Low
2022,3,northwest,18.6,67.0,High,Low,Low,Moderate,Low
2022,3,southeast,21.4,73.5,High,Low,Moderate,High,Low
2022,3,southwest,33.6,78.4,High,Low,High,High,Moderate
2022,3,central,17.4,62.5,High,Low,Low,Moderate,Low
2022,4,northeast,16.9,67.0,High,Low,Low,Moderate,Low
2022,4,northwest,14.1,67.5,High,Moderate,Low,Moderate,Low
2022,4,southeast,22.1,47.2,Low,Low,Moderate,Low,Low
2022,4,southwest,24.5,72.5,High,Low,Moderate,High,Low
2022,4,central,15.9,77.6,High,Low,Low,High,Low
2022,5,northeast,21.2,42.2,Low,Low,Moderate,Low,High
2022,5,northwest,12.2,67.2,High,Moderate,Low,Moderate,High
2022,5,southeast,32.3,75.8,High,Low,High,High,High
2022,5,southwest,33.6,48.3,Low,Low,High,Low,High
2022,5,central,23.2,54.0,Low,Low,Moderate,Moderate,High
2022,6,northeast,24.1,60.1,High,Low,Moderate,Moderate,High
2022,6,northwest,14.2,68.0,High,Moderate,Low,Moderate,High
2022,6,southeast,26.4,75.5,High,Low,Moderate,High,High
2022,6,southwest,23.8,43.9,Low,Low,Moderate,Low,High
2022,6,central,29.5,61.3,High,Low,Moderate,Moderate,High
2022,7,northeast,17.7,73.1,Moderate,Low,Low,High,High
2022,7,northwest,14.6,41.3,Moderate,Moderate,Low,Low,High
2022,7,southeast,36.7,50.5,Moderate,Low,High,Moderate,High
2022,7,southwest,34.9,71.0,Moderate,Low,High,High,High
2022,7,central,29.8,60.9,Moderate,Low,Moderate,Moderate,High
2022,8,northeast,20.2,75.8,Moderate,Low,Moderate,High,High
2022,8,northwest,18.8,59.1,Moderate,Low,Low,Moderate,High
2022,8,southeast,34.8,64.2,Moderate,Low,High,Moderate,High
2022,8,southwest,30.4,75.5,Moderate,Low,High,High,High
2022,8,central,25.8,44.9,Moderate,Low,Moderate,Low,High
2022,9,northeast,23.1,42.3,Moderate,Low,Moderate,Low,Low
2022,9,northwest,13.8,62.9,Moderate,Moderate,Low,Moderate,Low
2022,9,southeast,33.4,48.0,Moderate,Low,High,Low,Moderate
2022,9,southwest,34.2,79.5,Moderate,Low,High,High,Moderate
2022,9,central,19.0,63.4,Moderate,Low,Low,Moderate,Low
2022,10,northeast,17.1,70.7,Low,Low,Low,High,Low
2022,10,northwest,24.5,51.3,Low,Low,Moderate,Moderate,Low
2022,10,southeast,31.9,60.3,Low,Low,High,Moderate,Moderate
2022,10,southwest,21.1,57.8,Low,Low,Moderate,Moderate,Low
2022,10,central,27.3,69.0,Low,Low,Moderate,Moderate,Moderate
2022,11,northeast,18.2,53.7,Low,High,Low,Moderate,Low
2022,11,northwest,19.7,56.9,Low,High,Low,Moderate,Low
2022,11,southeast,27.6,65.0,Low,High,Moderate,Moderate,Moderate
2022,11,southwest,35.2,75.3,Low,High,High,High,Moderate
2022,11,central,28.6,73.6,Low,High,Moderate,High,Moderate
2022,12,northeast,7.5,65.0,Low,High,Low,Moderate,Low
2022,12,northwest,12.5,68.4,Low,High,Low,Moderate,Low
2022,12,southeast,19.7,52.6,Low,High,Low,Moderate,Low
2022,12,southwest,18.5,54.8,Low,High,Low,Moderate,Low
2022,12,central,20.6,59.4,Low,High,Moderate,Moderate,Low
2023,1,northeast,16.7,43.2,Low,High,Low,Low,Low
2023,1,northwest,6.7,62.0,Low,High,Low,Moderate,Low
2023,1,southeast,29.0,53.1,Low,High,Moderate,Moderate,Moderate
2023,1,southwest,25.7,43.1,Low,High,Moderate,Low,Moderate
2023,1,central,25.2,65.2,Low,High,Moderate,Moderate,Moderate
2023,2,northeast,16.4,47.2,Low,High,Low,Low,Low
2023,2,northwest,17.6,60.4,Low,High,Low,Moderate,Low
2023,2,southeast,18.3,40.7,Low,High,Low,Low,Low
2023,2,southwest,21.9,62.7,Low,High,Moderate,Moderate,Low
2023,2,central,18.3,50.3,Low,High,Low,Moderate,Low
2023,3,northeast,21.0,58.7,Low,Low,Moderate,Moderate,Low
2023,3,northwest,10.8,60.1,High,Moderate,Low,Moderate,Low
2023,3,southeast,20.9,76.4,High,Low,Moderate,High,Low
2023,3,southwest,26.5,60.1,High,Low,Moderate,Moderate,Moderate
2023,3,central,19.0,68.3,High,Low,Low,Moderate,Low
2023,4,northeast,16.8,60.4,High,Low,Low,Moderate,Low
2023,4,northwest,14.6,63.7,High,Moderate,Low,Moderate,Low
2023,4,southeast,24.1,77.6,High,Low,Moderate,High,Low
2023,4,southwest,26.1,62.8,High,Low,Moderate,Moderate,Moderate
2023,4,central,24.3,51.4,Low,Low,Moderate,Moderate,Low
2023,5,northeast,15.2,44.0,Low,Low,Low,Low,High
2023,5,northwest,17.6,79.2,High,Low,Low,High,High
2023,5,southeast,33.3,49.7,Low,Low,High,Low,High
2023,5,southwest,21.1,74.3,High,Low,Moderate,High,High
2023,5,central,17.2,53.8,Low,Low,Low,Moderate,High
2023,6,northeast,23.2,71.4,High,Low,Moderate,High,High
2023,6,northwest,22.0,58.9,Low,Low,Moderate,Moderate,High
2023,6,southeast,39.0,65.0,High,Low,High,Moderate,High
2023,6,southwest,25.2,65.3,High,Low,Moderate,Moderate,High
2023,6,central,24.1,63.0,High,Low,Moderate,Moderate,High
2023,7,northeast,23.2,46.2,Moderate,Low,Moderate,Low,High
2023,7,northwest,27.6,50.7,Moderate,Low,Moderate,Moderate,High
2023,7,southeast,29.7,76.3,Moderate,Low,Moderate,High,High
2023,7,southwest,31.4,45.8,Moderate,Low,High,Low,High
2023,7,central,21.1,44.2,Moderate,Low,Moderate,Low,High
2023,8,northeast,21.7,44.4,Moderate,Low,Moderate,Low,High
2023,8,northwest,16.5,77.3,Moderate,Low,Low,High,High
2023,8,southeast,33.7,56.2,Moderate,Low,High,Moderate,High
2023,8,southwest,34.0,71.1,Moderate,Low,High,High,High
2023,8,central,28.8,65.8,Moderate,Low,Moderate,Moderate,High
2023,9,northeast,13.9,56.7,Moderate,Moderate,Low,Moderate,Low
2023,9,northwest,25.2,71.6,Moderate,Low,Moderate,High,Moderate
2023,9,southeast,22.9,66.3,Moderate,Low,Moderate,Moderate,Low
2023,9,southwest,35.1,61.8,Moderate,Low,High,Moderate,Moderate
2023,9,central,28.8,69.4,Moderate,Low,Moderate,Moderate,Moderate
2023,10,northeast,20.5,46.8,Low,Low,Moderate,Low,Low
2023,10,northwest,25.1,77.7,Low,Low,Moderate,High,Moderate
2023,10,southeast,24.1,67.3,Low,Low,Moderate,Moderate,Low
2023,10,southwest,28.6,59.9,Low,Low,Moderate,Moderate,Moderate
2023,10,central,15.6,66.8,Low,Low,Low,Moderate,Low
2023,11,northeast,22.5,67.5,Low,High,Moderate,Moderate,Low
2023,11,northwest,9.4,55.9,Low,High,Low,Moderate,Low
2023,11,southeast,25.6,44.4,Low,High,Moderate,Low,Moderate
2023,11,southwest,20.9,55.4,Low,High,Moderate,Moderate,Low
2023,11,central,26.5,53.4,Low,High,Moderate,Moderate,Moderate
2023,12,northeast,11.2,40.1,Low,High,Low,Low,Low
2023,12,northwest,12.8,67.4,Low,High,Low,Moderate,Low
2023,12,southeast,22.1,50.3,Low,High,Moderate,Moderate,Low
2023,12,southwest,20.5,41.7,Low,High,Moderate,Low,Low
2023,12,central,14.9,64.9,Low,High,Low,Moderate,Low
2024,1,northeast,9.9,51.5,Low,High,Low,Moderate,Low
2024,1,northwest,8.2,57.4,Low,High,Low,Moderate,Low
2024,1,southeast,23.1,53.3,Low,High,Moderate,Moderate,Low
2024,1,southwest,23.0,69.8,Low,High,Moderate,Moderate,Low
2024,1,central,18.1,66.9,Low,High,Low,Moderate,Low
2024,2,northeast,7.0,64.5,Low,High,Low,Moderate,Low
2024,2,northwest,7.7,63.5,Low,High,Low,Moderate,Low
2024,2,southeast,21.0,68.9,Low,High,Moderate,Moderate,Low
2024,2,southwest,22.0,51.8,Low,High,Moderate,Moderate,Low
2024,2,central,23.5,44.0,Low,High,Moderate,Low,Low
2024,3,northeast,16.0,71.5,High,Low,Low,High,Low
2024,3,northwest,20.7,73.0,High,Low,Moderate,High,Low
2024,3,southeast,29.4,78.8,High,Low,Moderate,High,Moderate
2024,3,southwest,23.6,69.7,High,Low,Moderate,Moderate,Low
2024,3,central,19.5,41.3,Low,Low,Low,Low,Low
2024,4,northeast,20.0,75.9,High,Low,Moderate,High,Low
2024,4,northwest,21.8,72.4,High,Low,Moderate,High,Low
2024,4,southeast,27.5,77.1,High,Low,Moderate,High,Moderate
2024,4,southwest,32.4,65.2,High,Low,High,Moderate,Moderate
2024,4,central,24.3,73.8,High,Low,Moderate,High,Low
2024,5,northeast,16.8,66.4,High,Low,Low,Moderate,High
2024,5,northwest,9.1,76.7,High,Moderate,Low,High,High
2024,5,southeast,30.0,52.0,Low,Low,Moderate,Moderate,High
2024,5,southwest,34.3,66.7,High,Low,High,Moderate,High
2024,5,central,30.3,66.8,High,Low,High,Moderate,High
2024,6,northeast,28.4,67.2,High,Low,Moderate,Moderate,High
2024,6,northwest,25.6,46.5,Low,Low,Moderate,Low,High
2024,6,southeast,34.8,75.0,High,Low,High,High,High
2024,6,southwest,26.9,49.6,Low,Low,Moderate,Low,High
2024,6,central,33.5,78.4,High,Low,High,High,High
2024,7,northeast,14.9,67.3,Moderate,Moderate,Low,Moderate,High
2024,7,northwest,23.4,74.3,Moderate,Low,Moderate,High,High
2024,7,southeast,35.1,77.8,Moderate,Low,High,High,High
2024,7,southwest,39.6,41.1,Moderate,Low,High,Low,High
2024,7,central,20.5,55.2,Moderate,Low,Moderate,Moderate,High
2024,8,northeast,18.0,49.5,Moderate,Low,Low,Low,High
2024,8,northwest,27.3,45.8,Moderate,Low,Moderate,Low,High
2024,8,southeast,33.6,76.7,Moderate,Low,High,High,High
2024,8,southwest,35.9,41.0,Moderate,Low,High,Low,High
2024,8,central,21.2,48.6,Moderate,Low,Moderate,Low,High
2024,9,northeast,22.5,42.1,Moderate,Low,Moderate,Low,Low
2024,9,northwest,23.3,52.2,Moderate,Low,Moderate,Moderate,Low
2024,9,southeast,25.4,77.8,Moderate,Low,Moderate,High,Moderate
2024,9,southwest,29.3,52.3,Moderate,Low,Moderate,Moderate,Moderate
2024,9,central,24.9,47.2,Moderate,Low,Moderate,Low,Low
2024,10,northeast,14.3,44.2,Low,Moderate,Low,Low,Low
2024,10,northwest,18.3,65.4,Low,Low,Low,Moderate,Low
2024,10,southeast,20.6,64.2,Low,Low,Moderate,Moderate,Low
2024,10,southwest,28.0,62.7,Low,Low,Moderate,Moderate,Moderate
2024,10,central,24.5,77.1,Low,Low,Moderate,High,Low
2024,11,northeast,17.4,79.1,Low,High,Low,High,Low
2024,11,northwest,16.3,46.2,Low,High,Low,Low,Low
2024,11,southeast,34.6,63.0,Low,High,High,Moderate,Moderate
2024,11,southwest,29.3,41.5,Low,High,Moderate,Low,Moderate
2024,11,central,17.1,73.0,Low,High,Low,High,Low
2024,12,northeast,10.4,70.4,Low,High,Low,High,Low
2024,12,northwest,5.3,60.7,Low,High,Low,Moderate,Low
2024,12,southeast,22.6,75.8,Low,High,Moderate,High,Low
2024,12,southwest,21.2,72.3,Low,High,Moderate,High,Low
2024,12,central,18.7,75.3,Low,High,Low,High,Low
